Central,Laço,Endereço,Tipo de Dispositivo,Setor,Crogograma de Instalação
Central 3 - Fábrica,3,24,Detector de Fumaça Pontual,Mezanino - Sala de Painéis Torrefação,
Central 3 - Fábrica,3,25,Detector de Fumaça Pontual,Mezanino - Área de Prensa,
Central 3 - Fábrica,3,26,Detector de Fumaça Pontual,Mezanino - Área de Prensa,
Central 3 - Fábrica,3,27,Detector de Fumaça Pontual,Mezanino - Moagem 2,
Central 3 - Fábrica,3,28,Detector de Fumaça Pontual,Mezanino - Moagem 2,
Central 3 - Fábrica,3,29,Detector de Fumaça Pontual,Mezanino - Moagem 2,
Central 3 - Fábrica,3,30,Detector de Fumaça Pontual,Mezanino - Moagem 2,
Central 3 - Fábrica,3,31,Detector de Fumaça Pontual,Mezanino - Sala Administrativa,
Central 3 - Fábrica,3,32,Detector de Fumaça Pontual,Mezanino - Sala Administrativa,
Central 3 - Fábrica,3,33,Detector de Fumaça Pontual,Mezanino - Sala Administrativa,
Central 3 - Fábrica,3,34,Detector de Fumaça Pontual,Mezanino - Sala Administrativa,
Central 3 - Fábrica,3,35,Detector de Fumaça Pontual,Mezanino - Embalagem Manteiga,
Central 3 - Fábrica,3,36,Detector de Fumaça Pontual,Mezanino - Embalagem Manteiga,
Central 3 - Fábrica,3,37,Detector de Fumaça Pontual,Mezanino - Saída de Paletes,
Central 3 - Fábrica,3,38,Detector de Fumaça Pontual,Mezanino - Mixers,
Central 3 - Fábrica,3,39,Detector de Fumaça Pontual,Mezanino - Mixers,
Central 3 - Fábrica,3,40,Detector de Fumaça Pontual,Mezanino - Mixers,
Central 3 - Fábrica,3,41,Detector de Fumaça Pontual,Mezanino - Prensa 3,
Central 3 - Fábrica,3,42,Detector de Fumaça Pontual,Mezanino - Prensa 3,
Central 3 - Fábrica,3,43,Detector de Fumaça Pontual,Mezanino - Sala de Paineis Pulverização,
Central 3 - Fábrica,3,44,Detector de Fumaça Pontual,Mezanino - Pulverização Linha 3,
Central 3 - Fábrica,3,45,Detector de Fumaça Pontual,Mezanino - Pulverização Linha 3,
Central 3 - Fábrica,3,46,Detector de Fumaça Pontual,Mezanino - Sala de Utilidades,
Central 3 - Fábrica,3,47,Detector de Fumaça Pontual,Mezanino - Sala de Utilidades,
Central 3 - Fábrica,3,48,Detector de Fumaça Pontual,Mezanino - Pulverização FaII - Nivel 2,
Central 3 - Fábrica,3,49,Detector de Fumaça Pontual,Mezanino - Pulverização FaII - Nivel 2,
Central 3 - Fábrica,3,50,Detector de Fumaça Pontual,Mezanino - Pulverização Fase II - PV 1,
Central 3 - Fábrica,3,51,Detector de Fumaça Pontual,Mezanino - Pulverização Fase II - PV 1,
Central 3 - Fábrica,3,52,Detector de Fumaça Pontual,Mezanino - Pulverização Nivel 2,
Central 3 - Fábrica,3,53,Detector de Fumaça Pontual,Mezanino - Pulverização PV 1,
Central 3 - Fábrica,3,54,Detector de Fumaça Pontual,Mezanino - Pulverização PV 1,
Central 3 - Fábrica,3,55,Detector de Fumaça Pontual,Mezanino - Pulverização Linha 3 - Nivel 2,
Central 3 - Fábrica,3,56,Detector de Fumaça Pontual,Mezanino - Pulverização Linha 3 - Nivel 2,
Central 3 - Fábrica,3,57,Detector de Fumaça Pontual,Mezanino - Pulverização Linha 3 - Nivel 2,
Central 3 - Fábrica,3,58,Detector de Fumaça Pontual,Mezanino - Pulverização Linha 3 - Nivel 3,
Central 3 - Fábrica,3,59,Detector de Fumaça Pontual,Mezanino - Pulverização Linha 3 - Nivel 3,
Central 3 - Fábrica,3,60,Detector de Fumaça Pontual,Mezanino - Torrefação Nivel 2,
Central 3 - Fábrica,3,61,Detector de Fumaça Pontual,Mezanino - Torrefação Nivel 2,
Central 3 - Fábrica,3,62,Detector de Fumaça Pontual,Mezanino - Torrefação 2 - Nivel 2,
Central 3 - Fábrica,3,63,Detector de Fumaça Pontual,Mezanino - Torrefação 2 - Nivel 2,
Central 3 - Fábrica,3,64,Detector de Fumaça Pontual,Mezanino - Torrefação 2 - Nivel 3,
Central 3 - Fábrica,3,65,Detector de Fumaça Pontual,Mezanino - Torrefação 2- Nivel 4,
Central 3 - Fábrica,3,66,Detector de Fumaça Pontual,Mezanino - Linha de Separação -  Nivel 2,
Central 3 - Fábrica,3,67,Detector de Fumaça Pontual,Mezanino - Linha de Separação -  Nivel 2,
Central 3 - Fábrica,3,68,Detector de Fumaça Pontual,Mezanino - Linha 2 - Nivel 2,
Central 3 - Fábrica,3,69,Detector de Fumaça Pontual,Mezanino - Linha 2 - Nivel 3,
Central 3 - Fábrica,3,70,Detector de Fumaça Pontual,Mezanino - Mixers - Nivel - 2-3,
Central 3 - Fábrica,3,71,Detector de Fumaça Pontual,Mezanino - Mixers - Nivel - 2-3,
Central 4 - Caldeira,1,1,Acionador,Caldeira,
Central 4 - Caldeira,1,2,Acionador,Caldeira,
Central 4 - Caldeira,1,3,Acionador,Caldeira,
Central 4 - Caldeira,1,4,Acionador,Caldeira,
Central 4 - Caldeira,1,5,Acionador,Caldeira - 1PV,
Central 4 - Caldeira,1,6,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,7,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,8,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,9,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,10,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,11,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,12,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,13,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,14,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,15,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,16,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,17,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,18,Detector de Fumaça Pontual,Caldeira,
Central 4 - Caldeira,1,19,Detector de Fumaça Pontual,Caldeira - 1PV,
Central 4 - Caldeira,1,20,Detector de Fumaça Pontual,Caldeira - 1PV,
Central 4 - Caldeira,1,21,Detector de Fumaça Pontual,Caldeira - 1PV,
Central 4 - Caldeira,1,22,Detector de Fumaça Pontual,Caldeira - Nivel 2,
Central 4 - Caldeira,1,93,Sirenes,Caldeira,
Central 4 - Caldeira,1,94,Sirenes,Caldeira,
Central 4 - Caldeira,1,95,Sirenes,Caldeira,
Central 4 - Caldeira,1,96,Sirenes,Caldeira,
Central 4 - Caldeira,1,97,Sirenes,Caldeira - 1PV,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
